# F(Thz)          sk_xx       sk_yy         sk_zz
2.48146831e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.48791368e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.49435905e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.50080443e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.50724980e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.51369517e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.52014054e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.52658591e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.53303129e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.53947666e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.54592203e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.55236740e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.55881278e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.56525815e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.57170352e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
