# F(Thz)          sk_xx       sk_yy         sk_zz
5.67192756e+00 5.52141273e+00 5.52141276e+00 5.52141278e+00
5.73638129e+00 5.68371031e+00 5.68371036e+00 5.68371038e+00
5.80083501e+00 5.75848351e+00 5.75848357e+00 5.75848360e+00
5.86528873e+00 5.74264505e+00 5.74264512e+00 5.74264515e+00
5.92974245e+00 5.66217477e+00 5.66217485e+00 5.66217489e+00
5.99419618e+00 5.56703719e+00 5.56703727e+00 5.56703731e+00
6.05864990e+00 5.51778481e+00 5.51778489e+00 5.51778492e+00
6.12310362e+00 5.56761823e+00 5.56761829e+00 5.56761833e+00
6.18755734e+00 5.74535115e+00 5.74535120e+00 5.74535123e+00
6.25201107e+00 6.04459078e+00 6.04459082e+00 6.04459085e+00
6.31646479e+00 6.42272522e+00 6.42272525e+00 6.42272528e+00
6.38091851e+00 6.81066841e+00 6.81066844e+00 6.81066847e+00
6.44537223e+00 7.13130263e+00 7.13130266e+00 7.13130269e+00
6.50982595e+00 7.32155189e+00 7.32155192e+00 7.32155196e+00
6.57427968e+00 7.35111881e+00 7.35111884e+00 7.35111889e+00
6.63873340e+00 7.23147349e+00 7.23147353e+00 7.23147357e+00
6.70318712e+00 7.01188664e+00 7.01188668e+00 7.01188673e+00
6.76764084e+00 6.76404682e+00 6.76404686e+00 6.76404689e+00
6.83209457e+00 6.56079490e+00 6.56079495e+00 6.56079498e+00
6.89654829e+00 6.45582451e+00 6.45582457e+00 6.45582459e+00
6.96100201e+00 6.46997196e+00 6.46997203e+00 6.46997204e+00
7.02545573e+00 6.58716661e+00 6.58716670e+00 6.58716670e+00
7.08990946e+00 6.76049690e+00 6.76049701e+00 6.76049701e+00
7.15436318e+00 6.92669415e+00 6.92669429e+00 6.92669427e+00
7.21881690e+00 7.02529193e+00 7.02529207e+00 7.02529206e+00
7.28327062e+00 7.01692379e+00 7.01692394e+00 7.01692392e+00
7.34772434e+00 6.89481403e+00 6.89481416e+00 6.89481416e+00
7.41217807e+00 6.68543968e+00 6.68543980e+00 6.68543980e+00
7.47663179e+00 6.43808880e+00 6.43808891e+00 6.43808892e+00
7.54108551e+00 6.20709835e+00 6.20709845e+00 6.20709847e+00
7.60553923e+00 6.03319029e+00 6.03319039e+00 6.03319041e+00
7.66999296e+00 5.93028159e+00 5.93028169e+00 5.93028172e+00
7.73444668e+00 5.88191769e+00 5.88191778e+00 5.88191781e+00
7.79890040e+00 5.84839010e+00 5.84839018e+00 5.84839021e+00
7.86335412e+00 5.78227714e+00 5.78227722e+00 5.78227725e+00
7.92780785e+00 5.64709202e+00 5.64709210e+00 5.64709212e+00
7.99226157e+00 5.43208070e+00 5.43208077e+00 5.43208079e+00
8.05671529e+00 5.15711295e+00 5.15711301e+00 5.15711302e+00
8.12116901e+00 4.86537163e+00 4.86537168e+00 4.86537169e+00
8.18562273e+00 4.60699202e+00 4.60699206e+00 4.60699207e+00
8.25007646e+00 4.42098864e+00 4.42098868e+00 4.42098868e+00
8.31453018e+00 4.32314850e+00 4.32314853e+00 4.32314853e+00
8.37898390e+00 4.30424864e+00 4.30424866e+00 4.30424866e+00
8.44343762e+00 4.33804236e+00 4.33804237e+00 4.33804237e+00
8.50789135e+00 4.39434568e+00 4.39434569e+00 4.39434569e+00
8.57234507e+00 4.45102924e+00 4.45102924e+00 4.45102924e+00
